overview,vote_average,length,unique_words
the inspirational story of an estranged family that finds redemption in the unlikeliest of placesthe mma ring tommy riordan tom hardy an exmarine with a tragic past returns home and enlists his father nick nolte a recovering alcoholic and former wrestling coach to train him for sparta the biggest mma tournament ever held but when tommys underdog brother brendan joel edgerton fights his way into the tournament the two brothers must finally confront each other and the forces that pulled them apart what ensues is the most gutwrenching soulstirring and unforgettable battle of their lives,7.7,95,78
michael collins plays a crucial role in the establishment of the irish free state in the s but becomes vilified by those hoping to create a completely independent irish republic,6.7,30,25
summer  the confederacy pushes north into pennsylvania union divisions converge to face them the two great armies clash at gettysburg site of a theology school for three days through such legendary actions as little round top and picketts charge the fate of one nation indivisible hangs in the balance,6.6,49,45
a veteran soldier returns from his completed tour of duty in iraq only to find his life turned upside down when he is arbitrarily ordered to return to field duty by the army,6.1,33,29
a psychological thriller about a senior at one of americas most prestigious universities under enormous pressure to complete her thesis and earn a top job at one of the worlds most competitive consulting firms katie is still coping with the sudden unexplained disappearance of her first love two years prior as the investigation continues katie is forced to choose between past passions and new possibilities even as new facts are uncovered,4.6,71,55
best friends alice and darlene take a trip to thailand after graduating high school in thailand they meet a captivating australian man who calls himself nick parks darlene is particularly smitten with nick and convinces alice to take nick up on his offer to treat the two of them to what amounts to a day trip to hong kong in the airport the girls are seized by the police and shocked to discover that one of their bags contains heroin,6.2,80,58
a young girl buys an antique box at a yard sale unaware that inside the collectible lives a malicious ancient spirit the girls father teams with his exwife to find a way to end the curse upon their child,5.8,39,33
connie doyle is eighteen and pregnant her boyfriend has kicked her out she accidentaly ends up on a train where she meets hugh winterbourne and his wife patricia who is pregnant the train wrecks and she wakes up in the hosptial to find out that its been assumed that shes patricia hughs mother takes her in and she falls in love with hughs brother bill just when she thinks everything is going her way her exboyfriend shows up,5.3,78,54
la screenwriter david sumner relocates with his wife amy to her hometown in the deep south there while tensions build between them a brewing conflict with locals becomes a threat to them both,5.5,33,29
in what would cause a fantastic media frenzy clifford irving sells his bogus biography of howard hughes to a premiere publishing house in the early s,6.4,26,24
joe huff brian bosworth is a tough loner cop with a flair for infiltrating dangerous biker gangs the fbi blackmail joe into an undercover operation that entails infiltrating the brotherhood  a powerful mississippi biker gang linked in the murder of government officials as well as dealing drugs with the mafia,5.7,50,40
a father and his son walk alone through burned america nothing moves in the ravaged landscape save the ash on the wind and water it is cold enough to crack stones and when the snow falls it is gray the sky is dark their destination is the warmer south although they dont know what if anything awaits them there,6.8,59,48
sheenas white parents are killed while on safari she is raised by the mystical witch woman of an african tribe when her foster mother is framed for the murder of a political leader sheena and a newsman vic casey are forced to flee while pursued by the mercenaries hired by the real killer who hopes to assume power sheenas ability to talk to the animals and knowledge of jungle lore give them a chance against the high tech weapons of the mercenaries,5.0,82,60
a young detective goes undercover at an elite private school to destroy an international stolen car ring,5.5,17,16
boy meets girl boy falls in love and had wild nonstop sex with girl boy loses girl when they discover they are brother and sister but when he learns that hes the victim of the ultimate case of mistaken identity the lovesick young man  whom everyone still thinks is after some taboo thrills  must race across the country to stop her from marrying another man,4.8,65,53
the life story of new zealander burt munro who spent years building a  indian motorcycle  a bike which helped him set the landspeed world record at utahs bonneville salt flats in ,7.3,31,29
based on the british cult comicstrip our tankriding antiheroine fights a megacorporation which controls the worlds water supply,5.5,18,17
hoping to foil his own golddigging wifes plan a loathsome businessman arranges his own kidnapping only to realize that there are plenty of other people interested in his wealth as well,5.1,31,27
when a sudden plague of blindness devastates a city a small group of the afflicted band together to triumphantly overcome the horrific conditions of their imposed quarantine,6.4,27,22
in eighteenth century romania rayne a dhampir halfhuman halfvampire prone to fits of blind blood rage but saddled with a compunction for humans strives to avenge her mothers rape by her father kagan king of vampires two vampire hunters sebastian and vladimir from the brimstone society persuade her to join their cause,3.5,52,46
after yearold zachary cowan strikes his classmate across the face with a stick after an argument the victims parents invite zacharys parents to their brooklyn apartment to deal with the incident in a civilized manner,7.0,35,28
an ambitious reporter probes the reasons behind the sudden split of a s comedy team,5.9,15,14
an original story featuring performances by cirque du soleil a young woman is entranced by an aerialist when they fall into the dreamlike world of cirque du soleil and are separated they travel through the different tent worlds trying to find each other,6.1,43,36
the film follows the life of famous s runner steve prefontaine from his youth days in oregon to the university of oregon where he worked with the legendary coach bill bowerman later to olympics in munich and his early death at  in a car crash,6.2,45,36
new york  a teenager hired to star in orson welles production of julius caesar becomes attracted to a careerdriven production assistant,6.6,21,18
virgil oldman is a world renowned antiques expert and auctioneer an eccentric genius he leads a solitary life going to extreme lengths to keep his distance from the messiness of human relationships when appointed by the beautiful but emotionally damaged claire to oversee the valuation and sale of her familys priceless art collection virgil allows himself to form an attachment to her  and soon he is engulfed by a passion which will rock his bland existence to the core,7.7,79,59
terrence mcdonagh a new orleans police sergeant who starts out as a good cop receiving a medal and a promotion to lieutenant for heroism during hurricane katrina during his heroic act mcdonagh injures his back and later becomes addicted to prescription pain medication mcdonagh finds himself involved with a drug dealer who is suspected of murdering a family of african immigrants,6.0,61,48
a sea turtle who was hatched in  spends the next  years traveling the world while it is being changed by global warming born on a baja california beach in  new hatchling sammy must do what his fellow newborn sea turtles are doing race across the beach to the ocean before they are captured by a seagull or crab thus begins sammys incredible fiftyyear ocean journey along the way he meets his best friend a fellow turtle named ray and overcomes obstacles both natural and manmade while trying to fulfill his dream of travelling around the world throughout his voyage sammy never forgets about shelly  the turtle he saved on his first day and loves passionately from afar based on the actual trajectory of a sea turtles life the film illustrates the dangers humans pose to the species survival the film combines entertainment with an important environmental message,5.6,147,105
despite a traumatic event a group of friends decide to go ahead with their annual beach vacation their relationships convictions sense of guilt and friendship are sorely tested they are finally forced to own up to the little white lies theyve been telling each other,7.1,45,39
story of a couple that starts the first legal brothel in nevada and a boxer they own a piece of,6.0,20,17
a free adaptation of charles perraults famous pussn boots the true story of pussn boots is a story for young and old for the first time on cinema screens,3.8,29,22
belka the amazing flying dog is unexpectedly hurdled into the streets of moscow when the rocket she is in malfunctions during one of her circus routines fortunately the crash leads her to meet a streetwise dog named strelka and her irredeemable rat friend venya together with other amusing friends found along the way the three find themselves in a space programtraining center where they get sent away in a rocket leaving planet earth,6.3,73,58
a rich and successful lawyer named counselor is about to get married to his fiance but soon meets up with the middleman known as westray who tells him his drug trafficking plan has taken a horrible twist and now he must protect himself and his soon bridetobe lover as the truth of the drug business uncovers and targets become chosen,5.0,60,48
in the year  the rebel barons of england have forced their despised king john to put his royal seal on the magna carta a seminal document that upheld the rights of free men yet within months of pledging himself to the great charter the king reneged on his word and assembled a mercenary army on the south coast of england with the intention of bringing the barons and the country back under his tyrannical rule barring his way stood the mighty rochester castle a place that would become the symbol of the rebels momentous struggle for justice and freedom,6.2,99,68
after defeating france and imprisoning napoleon on elba ending two decades of war europe is shocked to find napoleon has escaped and has caused the french army to defect from the king back to him the best of the british generals the duke of wellington beat napoleans best generals in spain and portugal but now must beat napoleon himself with an anglo allied army,7.0,64,47
a martial arts instructor working at a police academy gets imprisoned after killing a man by accident but when a vicious killer starts targeting martial arts masters the instructor offers to help the police in return for his freedom,6.5,39,31
disgraced top gun fighter pilot butch masters leads a rogue squad in recovery of a wmd masters must navigate a fractured friendship a love triangle and must take to the skies to reclaim his military and personal honor,4.1,38,31
dangerous liaisons is the film based on the novel of the same name by choderlos de laclos set in th century france marquise de merteuils asks her exlover vicomte de valmont to seduce the future wife of another exlover of hers in return for one last night with her yet things dont go as planned in this love triangle drama,7.0,60,49
dean and sal are the portrait of the beat generation their search for it results in a fast paced energetic roller coaster ride with highs and lows throughout the us,5.5,30,27
fugitives of the federation for their daring rescue of spock from the doomed genesis planet admiral kirk william shatner and his crew begin their journey home to face justice for their actions but as they near earth they find it at the mercy of a mysterious alien presence whose signals are slowly destroying the planet in a desperate attempt to answer the call of the probe kirk and his crew race back to the late twentieth century however they soon find the world they once knew to be more alien than anything theyve encountered in the far reaches of the galaxy,6.9,101,70
when he loses a highly publicized virtual boxing match to exchamp rocky balboa reigning heavyweight titleholder mason dixon retaliates by challenging rocky to a nationally televised round exhibition bout to the surprise of his son and friends rocky agrees to come out of retirement and face an opponent whos faster stronger and thirty years his junior,6.5,56,46
two years after the terrifying events that occurred in woodsboro sidney is now attending windsor college in cincinnati and gale weathers best selling book on sidneys life has now been made into a major motion picture when two college students are killed in a theatre while watching the new film stab sidney knows deep down that history is repeating itself,6.1,60,50
after her outlaw husband returns home shot with eight bullets and barely alive jane reluctantly reaches out to an exlover who she hasnt seen in over ten years to help her defend her farm when the time comes that her husbands gang eventually tracks him down to finish the job,5.4,50,44
all the couples are back for a wedding in las vegas but plans for a romantic weekend go awry when their various misadventures get them into some compromising situations that threaten to derail the big event,6.4,36,33
a mobster named jimmy the tulip agrees to cooperate with an fbi investigation in order to stay out of prison hes relocated by the authorities to a life of suburban anonymity as part of a witness protection program its not long before a couple of his new neighbors figure out his true identity and come knocking to see if hed be up for one more hit suburban style,6.2,68,55
when teenager ren and his family move from bigcity chicago to a small town in the west hes in for a real case of culture shock,6.4,26,24
three friends attempt to recapture their glory days by opening up a fraternity near their alma mater,6.6,17,16
two troubled men face their terrible destinies and events of their past as they join together on a mission to find the holy grail and thus to save themselves,7.2,29,26
unfinished business with coed julie james brings the murderer to the bahamas to terrorize her and her friends karla tyrell and will during a vacation can ray bronson who survived a bloody attack alongside julie two summers ago get to the island in time to save everyone,5.1,47,38
it took a lot of cajoling to get bob duchovny a recently widowed architect to go on a blind date at a quirky irishitalian eatery once there hes smitten instantly not with his date but with the sharpwitted waitress grace driver everything seems to be going great until an unbelievable truth is revealed one that could easily break both of their hearts for good,6.1,64,56
lifelong platonic friends zack and miri look to solve their respective cashflow problems by making an adult film together as the cameras roll however the duo begin to sense that they may have more feelings for each other than they previously thought,6.1,42,39
what happens when a person decides that life is merely a state of mind if youre betty a smalltown waitress and soap opera fan from fair oaks kansas you refuse to believe that you cant be with the love of your life just because he doesnt really exist after all life is no excuse for not living traumatized by a savage event betty enters into a fugue state that allows  even encourages  her to keep functioning in a kind of alternate reality,5.9,82,66
a reporter in iraq might just have the story of a lifetime when he meets lyn cassady a guy who claims to be a former member of the us armys new earth army a unit that employs paranormal powers in their missions,5.9,42,35
the governor of a mexican state is assassinated soon after junior executive daryl chases life turns upside down after he flags a huge transfer of funds from a mexican account as probably illegal hes attacked in his apartment rescued by a cia agent finds his secretary shot dead and witnesses two cops get killed he calls the cia guy who tells him to grab the next train to mexico leaving m,5.5,71,59
set in the changing world of the late s susanna kaysens prescribed short rest from a psychiatrist she had met only once becomes a strange unknown journey into alices wonderland where she struggles with the thin line between normal and crazy susanna soon realizes how hard it is to get out once she has been committed and she ultimately has to choose between the world of people who belong inside or the difficult world of reality outside,7.6,77,59
a smalltown girl wins a date with a hollywood star through a contest when the date goes better than expected a love triangle forms between the girl the celebrity and the girls best friend,5.5,34,25
when gonzos breakfast cereal tells him that hes the descendant of aliens from another planet his attempts at extraterrestrial communication get him kidnapped by a secret government agency prompting the muppets to spring into action its hard to believe gonzos story at first but kermit and friends soon find themselves on an epic journey into outer space filled with plenty of intergalactic misadventures,5.8,63,56
a thanksgiving dinner brings a host of family together in a harlem apartment where a yearold schoolteacher named dorothy gale diana ross lives with her aunt em theresa merritt and uncle henry stanley greene extremely introverted she has as aunt em teases her never been south of th street and refuses to move out and on with her life,5.9,59,48
two slacker wrestling fans are devastated by the ousting of their favorite character by an unscrupulous promoter,4.7,17,16
two aging fighters in la friends get a call from a vegas promoter because his undercard fighters for a mike tyson bout that night are suddenly unavailable he wants them to box each other they agree as long as the winner gets a shot at the middleweight title they enlist grace cesars current and vinnies ex girlfriend to drive them to vegas,5.7,62,51
a comedy centered on the life of kate reddy a finance executive who is the breadwinner for her husband and two kids,5.0,22,20
each year the population of sleepy lake victoria arizona explodes from  to  residents for the annual spring break celebration but then an earthquake opens an underwater chasm releasing an enormous swarm of ancient piranha that have been dormant for thousands of years now with a taste for human flesh this year theres something more to worry about than the usual hangovers and complaints from locals a new type of terror is about to be cut loose on lake victoria,5.3,79,62
based on the life and career of legendary entertainer bobby darin the biopic moves back and forth between his childhood and adulthood to tell the tale of his remarkable life kevin spacey did his own singing for beyond the sea recreating bobby darins vocal style with uncanny accuracy,6.5,48,38
two surfers end up as yellowstone park rangers and have to stop a former ranger who is out for revenge,4.1,20,20
it is written among the limitless constellations of the celestial heavens and  in the depths of the emerald seas and upon every grain of sand in the vast  deserts that the world which we see is an outward and visible dream of an  inward and invisible reality  once upon a time there was a golden city in  the center of the golden city atop the tallest minaret were three golden  balls the ancients had prophesied that if the three golden balls were ever  taken away harmony would yield to discord and the city would fall to  destruction and death but the mystics had also foretold that the city might  be saved by the simplest soul with the smallest and simplest of things in the  city there dwelt a lowly shoemaker who was known as tack the cobbler also in  the city existed a thief who shall be  nameless,6.8,148,87
the bridge of san luis rey is american author thornton wilders second novel first published in  to worldwide acclaim it tells the story of several interrelated people who die in the collapse of an inca ropefiber suspension bridge in peru and the events that lead up to their being on the bridge a friar who has witnessed the tragic accident then goes about inquiring into the lives of the victims seeking some sort of cosmic answer to the question of why each had to die the novel won the pulitzer prize in ,5.4,92,66
driver dwayne johnson has spent the last  years in prison planning revenge for the murder of his brother now that driver is free to carry out his deadly plan only two men stand in his way billy bob thornton plays a veteran cop and oliver jacksoncohen a crazy hitman with those two close on his trail driver races to carry out his mission as the mystery surrounding his brothers murder deepens,6.1,71,55
when sophie a shy young woman is cursed with an old body by a spiteful witch her only chance of breaking the spell lies with a selfindulgent yet insecure young wizard and his companions in his legged walking home,8.2,39,34
columbus has made a habit of running from what scares him tallahassee doesnt have fears if he did hed kick their everliving ass in a world overrun by zombies these two are perfectly evolved survivors but now theyre about to stare down the most terrifying prospect of all each other,7.2,50,48
bobby boucher is a water boy for a struggling college football team the coach discovers bouchers hidden rage makes him a tackling machine whose bonecrushing power might vault his team into the playoffs,5.9,33,29
the epic saga continues as luke skywalker in hopes of defeating the evil galactic empire learns the ways of the jedi from aging master yoda but darth vader is more determined than ever to capture luke meanwhile rebel leader princess leia cocky han solo chewbacca and droids cpo and rd are thrown into various stages of capture betrayal and despair,8.2,60,51
marcus burnett is a henpecked family man mike lowry is a footloose and fancy free ladies man both are miami policemen and both have  hours to reclaim a consignment of drugs stolen from under their stations nose to complicate matters in order to get the assistance of the sole witness to a murder they have to pretend to be each other,6.5,61,46
bumbling cop frank drebin is out to foil the big boys in the energy industry who intend to suppress technology that will put them out of business,6.6,27,24
after a teenager has a terrifying vision of him and his friends dying in a plane crash he prevents the accident only to have death hunt them down one by one,6.4,31,28
dirty tricks stand to soil an ambitious young press spokesmans idealism in a cutthroat presidential campaign where victory is relative,6.5,20,20
when their ship crashlands on a remote planet the marooned passengers soon learn that escaped convict riddick isnt the only thing they have to fear deadly creatures lurk in the shadows waiting to attack in the dark and the planet is rapidly plunging into the utter blackness of a total eclipse with the body count rising the doomed survivors are forced to turn to riddick with his eerie eyes to guide them through the darkness to safety with time running out theres only one rule stay in the light,6.7,89,67
jane goodale has everything going for her shes a producer on a popular daytime talk show and is in a hot romance with the shows dashing executive producer ray but when the relationship goes terribly awry jane begins an extensive study of the male animal including her womanizing roommate eddie jane puts her studies and romantic misadventure to use as a pseudonymous sex columnist  and becomes a sensation,6.0,68,55
in the not so distant future theodore a lonely writer purchases a newly developed operating system designed to meet the users every needs to theordores surprise a romantic relationship develops between him and his operating system this unconventional love story blends science fiction and romance in a sweet tale that explores the nature of love and the ways that technology isolates and connects us all,7.9,65,50
three young people on a road trip from colorado to new jersey talk to a trucker on their cb radio then must escape when he turns out to be a psychotic killer,6.3,32,27
yearold mariah mundis life is turned upside down when his parents vanish and his younger brother is kidnapped following a trail of clues to the darkly majestic prince regent hotel mariah discovers a hidden realm of childstealing monsters deadly secrets and a longlost artifact that grants limitless wealth  but also devastating supernatural power with the fate of his world and his family at stake mariah will risk everything to unravel the curse of the midas box,5.1,76,59
in this adaptation of the mona simpson novel single mother adele august is bad with money and even worse when it comes to making decisions her straightlaced daughter ann is a successful high school student with ivy league aspirations when adele decides to pack up and move the two of them from the midwest to beverly hills calif to pursue her dreams of hollywood success ann grows frustrated with her mothers irresponsible and impulsive ways,5.9,75,58
four retired mobsters plan one last crime to save their retirement home,6.4,12,12
mallory kane is a highly trained operative who works for a government security contractor in the dirtiest most dangerous corners of the world after successfully freeing a chinese journalist held hostage she is double crossed and left for dead by someone close to her in her own agency suddenly the target of skilled assassins who know her every move mallory must find the truth in order to stay alive,5.6,69,54
after another deadly shark attack ellen brody decides she has had enough of new englands amity island and moves to the caribbean to join her son michael and his family but a great white shark has followed her there hungry for more lives,3.5,43,38
a leukemia patient attempts to end a year feud with her sister to get her bone marrow,6.6,17,14
the true story of jasmine plummer who at the age of eleven became the first female to play in pop warner football tournament in its year history,6.5,27,23
on a rainy london night in  novelist maurice bendrix has a chance meeting with henry miles husband of his exmistress sarah who abruptly ended their affair two years before bendrixs obsession with sarah is rekindled he succumbs to his own jealousy and arranges to have her followed,6.6,47,42
its the lawless future and renegade biker harley davidson mickey rourke and his surly cowboy buddy marlboro don johnson learn that a corrupt bank is about to foreclose on their friends bar to further an expanding empire harley and marlboro decide to help by robbing the crooked bank but when they accidentally filch a drug shipment they find themselves on the run from criminal financiers and the mob in this rugged action adventure,6.1,73,59
a career officer and his wife work with a police detective to uncover the truth behind their sons disappearance following his return from a tour of duty in iraq,6.6,29,26
 biopic about the early life of coco chanel several years after leaving the orphanage to which her father never returned for her gabrielle chanel finds herself working in a provincial bar both shes both a seamstress for the performers and a singer earning the nickname coco from the song she sings nightly with her sister a liaison with baron balsan gives her an entree into french society and a chance to develop her gift for designing,6.6,76,56
john henry returns to his hometown in hopes of repairing his relationship with his estranged father but a local gang is terrorizing the town john henry is the only one who can stop them however he has abandoned both his gun and reputation as a fearless quickdraw killer,5.8,48,40
a sumptuous dramatic comedy set in late th century france during the belle epoque a period of social and cultural excess in european upper classes which ended only as the first world war erupted,5.9,34,31
beautiful funny passionate and calculating becky is the orphaned daughter of a starving english artist and a french chorus girl she yearns for a more glamorous life than her birthright promises and resolves to conquer english society by any means possible a mere ascension into the heights of society is simply not enough so becky finds a patron in the powerful marquess of steyne whose whims enable becky to realise her dreams but is the ultimate cost too high for her,5.5,81,60
in  revolutionist sun yatsen visits hong kong to discuss plans with tongmenghui members to overthrow the qing dynasty but when they find out that assassins have been sent to kill him they assemble a group of protectors to prevent any attacks,6.5,41,37
a man who specializes in debunking paranormal occurrences checks into the fabled room  in the dolphin hotel soon after settling in he confronts genuine terror,6.5,25,22
when the nefarious dark helmet hatches a plan to snatch princess vespa and steal her planets air spacebumforhire lone starr and his clueless sidekick fly to the rescue along the way they meet yogurt who puts lone starr wise to the power of the schwartz can he master it in time to save the day,6.7,55,44
in  australian farmer joshua connor travels to turkey to discover the fate of his three sons reported missing in action holding on to hope joshua must travel across the wartorn landscape to find the truth and his own peace,6.8,39,31
sam wheat is a banker molly jensen is an artist and the two are madly in love however when sam is murdered by his friend and corrupt business partner carl bruner over a shady business deal he is left to roam the earth as a powerless spirit when he learns of carls betrayal sam must seek the help of psychic oda mae brown to set things right and protect molly from carl and his goons,6.9,75,55
having never fully recovered from a prom date that became a total disaster a man finally gets a chance to reunite with his old prom date only to run up against other suitors including the sleazy detective he hired to find her,6.5,42,35
scott calvin is an ordinary man who accidentally causes santa claus to fall from his roof on christmas eve and is knocked unconscious when he and his young son finish santas trip and deliveries they go to the north pole where scott learns he must become the new santa and convince those he loves that he is indeed father christmas,6.3,60,46
jim morris never made it out of the minor leagues before a shoulder injury ended his pitching career twelve years ago now a marriedwithchildren highschool chemistry teacher and baseball coach in texas jims team makes a deal with him if they win the district championship jim will try out with a majorleague organization the bet proves incentive enough for the team and they go from worst to first making it to state for the first time in the history of the school jim forced to live up to his end of the deal is nearly laughed off the tryout fielduntil he gets onto the mound where he confounds the scouts and himself by clocking successive  mph fastballs good enough for a minorleague contract with the tampa bay devil rays jims still got a lot of pitches to throw before he makes it to the show but with his bigleague dreams revived theres no telling where he could go,6.5,158,105
bachelor football star joe kingman seems to have it all he is wealthy and carefree and his team is on the way to capturing a championship suddenly he is tackled by some unexpected news he has a young daughter the result of a last fling with his exwife joe must learn to balance his personal and professional lives with the needs of his child,6.0,64,46
photographer robert kincaid wanders into the life of housewife francesca johnson for four days in the s,7.3,17,16
when loser marvin mange is involved in a horrible car accident hes brought back to life by a deranged scientist as half man and half animal his newfound powers are awesome  but their adverse side effects could take over his life now marvin must fight to control his crazy primal urges around his new squeeze rianna and his rival sgt sisk who both think hes one cool cat,4.6,68,57
in the early years of the th century mohandas k gandhi a britishtrained lawyer forsakes all worldly possessions to take up the cause of indian independence faced with armed resistance from the british government gandhi adopts a policy of passive resistance endeavouring to win freedom for his people without resorting to bloodshed,7.4,52,42
a story centered around an indian family who moves to france and opens a restaurant across the street from a michelinstarred french restaurant,7.3,23,20
angela bennett is a freelance software engineer who lives in a world of computer technology when a cyber friend asks bennett to debug a new game she inadvertently becomes involved in a conspiracy that will soon turn her life upside down while on vacation in mexico her purse is stolen she soon finds that people and events may not be what they seem as she becomes the target of an assassination her vacation is ruined  she gets a new passport at the us embassy in mexico but it has the wrong name ruth marx when she returns to the us to sort things out she discovers that ruth marx has an unsavory past and a lengthy  police record to make matters worse another person has assumed her real identity ,5.6,129,87
sam has the mental capacity of a yearold he has a daughter with a homeless woman who abandons them when they leave the hospital leaving sam to raise lucy on his own but as lucy grows up sams limitations start to become a problem and the authorities take her away sam shames highpriced lawyer rita into taking his case pro bono and in turn teaches her the value of love and family,7.2,72,56
the life story of jesus is told from his humble birth through his teachings crucifixion and ultimate resurrection,5.9,18,17
vampires and werewolves have waged a nocturnal war against each other for centuries but all bets are off when a female vampire warrior named selene whos famous for her strength and werewolfhunting prowess becomes smitten with a peaceloving male werewolf michael who wants to end the war,6.6,47,42
when two married business executives having an affair are blackmailed by a violent criminal they are forced to turn the tables on him to save their families,6.1,27,25
a rising star at agriindustry giant archer daniels midland adm mark whitacre suddenly turns whistleblower even as he exposes his companys multinational pricefixing conspiracy to the fbi whitacre envisions himself being hailed as a hero of the common man and handed a promotion,6.0,43,38
cs lewis a worldrenowned writer and professor leads a passionless life until he meets spirited poet joy gresham,6.8,18,17
deuce bigalow goes to amsterdam after a little accident including two irritating kids and a bunch of aggressive dolphins there he meets up with his old friend tj hicks but a mysterious killer starts killing some of amsterdams finest gigolos and tj is mistaken for the extremely gay murderer deuce must enter the gigolo industry again to find the real murderer and clear tjs name,4.7,65,54
an affable underachiever finds out hes fathered  children through anonymous donations to a fertility clinic  years ago now he must decide whether or not to come forward when  of them file a lawsuit to reveal his identity,6.2,37,34
a young oxford academic and his attorney girlfriend holiday on antigua they bump into a russian millionaire who owns a peninsula and a diamond watch he wants a game of tennis what else he wants propels the lovers on a tortuous journey to the city of london and its unholy alliance with britains intelligence establishment to paris and the alps,6.0,60,45
a pair of buddies conspire to save their best friend from marrying the wrong woman a coldhearted beauty who snatches him from them and breaks up their neil diamond cover band,5.4,31,28
school is out and greg is ready for the days of summer when all his plans go wrong what on earth is he going to do all summer,6.0,28,24
spike lees take on the son of sam murders in new york city during the summer of  centering on the residents of an italianamerican south bronx neighborhood who live in fear and distrust of one another,6.3,36,29
when jay and silent bob learn that their comicbook alter egos bluntman and chronic have been sold to hollywood as part of a bigscreen movie that leaves them out of any royalties the pair travels to tinseltown to sabotage the production,6.4,41,35
after the parents of ruby and her younger brother rhett are killed in a car crash their parents best friends erin and terry glass become their guardians the children hear promises of a world of opulence and california fun  all they have to do is move into the glasses gated house before very long though ruby suspects that erin and terry may not be the ideal guardians they seemed to be,5.4,71,53
tells the comedic tale of eddie mannix a fixer who worked for the hollywood studios in the s the story finds him at work when a star mysteriously disappears in the middle of filming,5.7,34,27
josie melody and val are three smalltown girl musicians determined to take their rock band out of their garage and straight to the top while remaining true to their look style and sound they get a record deal which brings fame and fortune but soon realize they are pawns of two people who want to control the youth of america they must clear their names even if it means losing fame and fortune,5.3,73,55
phil broker is a former dea agent who has gone through a crisis after his action against a biker gang went horribly wrong and it cost the life of his boss son he is recently widowed and is left with a yearsold daughtermaddy he decides to quit the turbulent and demanding life of thrill for maddys sake and retires to a small town his daughter fights off a boy who was bullying her at school and this sets in motion a round of events that end in his direct confrontation with the local meth drug lord his past history with the biker gang also enters the arena making matters more complex but he has a mission in his mind to protect his daughter and he is ready to pay any cost that it demands,6.4,134,88
based on the popular books the story tells of tony who wants a friend to add some adventure to his life what he gets is rudolph a vampire kid with a good appetite the two end up inseparable but their fun is cut short when all the hopes of the vampire race could be gone forever in single night with tonys access to the daytime world he helps them to find what theyve always wanted,6.1,75,59
a husbandandwife team play detective but not in the traditional sense instead the happy duo helps others solve their existential issues the kind that keep you up at night wondering what it all means,6.2,34,32
the mega corporation omni consumer products is still bent on creating their pet project delta city to replace the rotting city of detroit unfortunately the inhabitants of the area have no intention of abandoning their homes simply for desires of the company to this end ocp have decided to force them to leave by employing a ruthless mercenary army to attack and harass them an underground resistance begins and in this fight robocop must decide where his loyalties lie,4.2,79,62
stone the antichrist becomes president of the european union and uses his seat of power to dissolve the united nations and create a one world government called the world union,3.6,30,23
set in paris during world war i lili smithschmidt is a german spy being requested to go under cover to help germany during the war to try and find out their plans her uncle wishes her to fulfill the operation whereas one of his colleagues believed she is not capable of performing such an operation as she is british she soon finds herself following major william larrabees every move and spending all her time either with him or thinking of him her uncle realises shes in love with him but lili is not facing that she is things amp people are coming between her true fate but what is it,4.9,110,80
based on the sera cartoon of the same name royal canadian mountie dudley doright is busy keeping the peace in his small mountain town when his old rival snidely whiplash comes up with a plot to buy all the property in town then start a phony gold rush by seeding the river with gold nuggets can this wellmeaning though completely incompetent mountie stop whiplashs evil plan,3.8,66,55
the fastpaced action movie is again set in the criminal underworld in france where frank martin is known as the transporter because he is the best driver and mercenary money can buy in this installment he meets anna and they attempt to take down a group of ruthless russian human traffickers who also have kidnapped franks father,5.2,57,48
the story of john wilmot aka the earl of rochester a th century poet who famously drank and debauched his way to an early grave only to earn posthumous critical acclaim for his lifes work,5.9,35,31
in the nazioccupied netherlands during world war ii a jewish singer infiltrates the regional gestapo headquarters for the dutch resistance,7.2,20,18
in  world war i the bloodiest war ever at that time in human history was well under way however on christmas eve numerous sections of the western front called an informal and unauthorized truce where the various frontline soldiers of the conflict peacefully met each other in no mans land to share a precious pause in the carnage with a fleeting brotherhood,7.2,62,52
former getaway driver charlie bronson jeopardizes his witness protection plan identity in order to help his girlfriend get to los angeles the feds and charlies former gang chase them on the road,5.5,32,28
three female employees of the federal reserve plot to steal money that is about to be destroyed,5.9,17,16
a woman wakes up every day remembering nothing as a result of a traumatic accident in her past one day new terrifying truths emerge that force her to question everyone around her,6.2,32,27
four exiled international criminals on the run hide out in a remote nicaraguan village whose economy is dependent on an oil company an oil well  miles away catches fire and can be extinguished only with explosives the criminals are given a chance to earn a great deal of money by transporting highly volatile and sensitive explosives through hazardous and rugged terrain full of obstacles and danger,7.4,66,54
parole officer jack mabry has only a few weeks left before retirement and wishes to finish out the cases hes been assigned one such case is that of gerald stone creeson a convicted arsonist who is up for parole jack is initially reluctant to indulge stone in the coarse banter he wishes to pursue and feels little sympathy for the prisoners pleads for an early release seeing little hope in convincing jack himself stone arranges for his wife to seduce the officer but motives and intentions steadily blur amidst the passions and buried secrets of the corrupted players in this deadly game of deception,5.2,104,75
molire a downandout actorcumplaywright up to his ears in debt when the wealthy jourdain offers to cover that debt so that molires theatrical talents might help jourdain win the heart of a certain widowed marquise hilarity ensues,6.7,37,31
two brothers live in the economicallydepressed rust belt when a cruel twist of fate lands one in prison his brother is then lured into one of the most violent crime rings in the northeast,6.5,34,28
